,AO3,AOA1,AOA3,AOA4,AOA6,AOA7,GBM1,GBM11,GBM15,GBM21,GBM24,GBM25,GBM28,GBM3,GBM31,GBM4,GBM5,GBM6,GBM9,GNN1,GS1,O1,O3,O4,O5,sGBM3
EXT1,0.35852499918599,0.281932078832008,0.181002875292185,0.161967477062096,0.643383406265636,1.13902942396475,0.0325515478585565,-0.0218112839998505,-0.0870944698405585,-0.144086331408194,-0.194368806123744,-0.0451918149733018,0.00156924697360079,-0.212864381344983,-0.388147567185691,-0.0848201335573726,-0.278333407893656,0.510843583256787,-0.069563496389231,0.466994025734663,0.292994025734663,0.714463052283335,0.566002875292185,0.432967477062096,0.0541621673275831,-0.260220259979623
DIP2C,0.62352499918599,0.228932078832008,-0.00199712470781513,0.253967477062096,0.397383406265636,0.202029423964751,0.255551547858557,-0.0708112839998505,-0.170094469840558,0.105913668591806,0.121631193876256,0.403808185026698,0.277569246973601,-0.214864381344983,-0.347147567185691,-0.155820133557373,-0.213333407893656,0.0358435832567866,0.201436503610769,0.107994025734663,0.0729940257346628,0.589463052283335,0.478002875292185,0.687967477062096,0.865162167327583,0.122779740020377
SVIL,0.61752499918599,0.383932078832008,0.164002875292185,-0.181032522937904,0.240383406265636,0.198029423964751,0.0655515478585565,-0.149811283999851,0.191905530159442,-0.626086331408194,0.399631193876256,-0.445191814973302,-0.391430753026399,-0.163864381344983,-0.864147567185691,0.0541798664426274,-0.200333407893656,-0.371156416743213,-0.447563496389231,0.357994025734663,-0.561005974265337,-0.174536947716665,0.00600287529218489,0.503967477062096,0.00116216732758311,-0.147220259979623
MGC39606,0.37152499918599,-0.465067921167992,-0.306997124707815,0.158967477062096,-0.0376165937343638,-0.323970576035249,0.284551547858557,-0.0528112839998505,0.348905530159442,0.0179136685918056,0.289631193876256,0.741808185026698,0.431569246973601,-0.252864381344983,0.270852432814309,0.304179866442627,-0.0533334078936558,0.382843583256787,0.100436503610769,-0.444005974265337,0.255994025734663,0.365463052283335,0.199002875292185,0.812967477062096,0.414162167327583,0.169779740020377
ADARB2,0.42852499918599,-0.0510679211679921,0.154002875292185,-0.460032522937904,0.258383406265636,0.149029423964751,0.191551547858557,-0.61781128399985,-0.968094469840558,0.0449136685918056,-0.0803688061237443,-0.669191814973302,-0.7594307530264,-1.25086438134498,-1.00314756718569,-0.886820133557373,-0.528333407893656,-0.130156416743213,-0.443563496389231,0.192994025734663,-0.348005974265337,-0.0655369477166647,-0.483997124707815,0.163967477062096,0.490162167327583,-0.432220259979623
PARD3,0.22952499918599,0.201932078832008,0.326002875292185,-0.181032522937904,0.276383406265636,0.437029423964751,0.330551547858557,-0.289811283999851,-0.431094469840558,-0.133086331408194,0.0486311938762557,-0.119191814973302,-0.343430753026399,0.150135618655017,-0.552147567185691,-0.261820133557373,-0.153333407893656,0.238843583256787,-0.158563496389231,0.702994025734663,-0.00100597426533724,0.326463052283335,-0.135997124707815,0.676967477062096,0.258162167327583,0.151779740020377
SPAG6,-0.29047500081401,-0.390067921167992,0.0250028752921849,-0.425032522937904,0.175383406265636,0.0700294239647512,0.362551547858557,-1.08281128399985,-0.798094469840559,-0.150086331408194,-0.0763688061237443,-0.494191814973302,-0.484430753026399,0.120135618655017,-1.17714756718569,-0.560820133557373,-0.790333407893656,-0.336156416743213,-0.622563496389231,0.438994025734663,-0.456005974265337,-0.251536947716665,-0.0739971247078151,0.319967477062096,0.630162167327583,0.031779740020377
AKR1C1,0.80052499918599,0.490932078832008,0.329002875292185,0.484967477062096,0.658383406265636,0.422029423964751,0.513551547858557,-0.289811283999851,-0.0120944698405585,0.0639136685918056,0.162631193876256,-0.125191814973302,-0.357430753026399,-0.669864381344983,0.0458524328143088,0.0231798664426273,-0.303333407893656,0.917843583256787,0.153436503610769,0.214994025734663,0.256994025734663,0.656463052283335,0.274002875292185,0.832967477062097,0.513162167327583,0.497779740020377
CCDC3,0.25952499918599,1.00393207883201,0.391002875292185,0.0139674770620964,0.416383406265636,0.450029423964751,0.620551547858557,-0.60081128399985,-0.393094469840559,0.326913668591806,0.468631193876256,-0.269191814973302,-0.195430753026399,0.136135618655017,-0.550147567185691,-0.510820133557373,-0.308333407893656,-0.416156416743213,-0.074563496389231,0.770994025734663,-0.105005974265337,0.179463052283335,0.184002875292185,0.421967477062096,0.413162167327583,0.165779740020377
AKR1C2,-0.0514750008140098,0.0679320788320079,0.0570028752921849,-0.633032522937904,0.324383406265636,-0.565970576035249,0.449551547858557,-0.64581128399985,-0.274094469840559,-0.144086331408194,-0.654368806123744,-0.575191814973302,-0.5994307530264,-0.826864381344983,-0.465147567185691,-0.723820133557373,-0.805333407893656,-0.415156416743213,-0.570563496389231,-1.40000597426534,-0.663005974265337,0.233463052283335,-0.0869971247078151,0.730967477062096,0.300162167327583,0.252779740020377
TCTEX1D1,0.19652499918599,0.532932078832008,0.0330028752921849,0.0199674770620964,-0.0916165937343638,0.120029423964751,0.534551547858557,-0.181811283999851,-0.266094469840559,0.415913668591806,0.448631193876256,0.136808185026698,0.0895692469736008,0.246135618655017,-0.405147567185691,0.0371798664426274,-0.000333407893655838,-0.0881564167432134,0.155436503610769,0.189994025734663,-0.162005974265337,0.227463052283335,-1.10099712470782,-1.3440325229379,-1.28883783267242,-0.426220259979623
GYPA,0.42952499918599,-1.06706792116799,-0.429997124707815,-0.0480325229379036,0.189383406265636,0.0930294239647512,0.111551547858557,0.249188716000149,0.114905530159442,0.313913668591806,-0.505368806123744,0.727808185026698,0.432569246973601,-0.365864381344983,0.332852432814309,0.0941798664426274,0.0486665921063442,0.612843583256787,0.333436503610769,0.205994025734663,0.240994025734663,0.518463052283335,0.427002875292185,1.0889674770621,0.482162167327583,0.366779740020377
