,AA3,AO1,AO2,AOA2,GBM16,GBM22,GBM23,GBM26,GBM27,GBM29,GBM30,GS2,JPA2,JPA3,LGG1,O2,sGBM1
EXT1,0.0674542027258132,0.230560397416079,0.711348008035548,1.12315331777006,0.183038273522273,0.181932078832008,-0.233931207910197,-0.121094469840558,-0.0797581866547178,-0.235802434442328,-0.0625723459467532,-0.41847500081401,0.0268690257346627,0.0333480080355477,0.286135618655017,0.273365707150592,0.244542698301034
DIP2C,-0.461545797274187,0.768560397416079,0.494348008035548,-0.449846682229939,-0.154961726477727,0.229932078832008,-0.404931207910197,0.0489055301594415,-0.681758186654718,-0.529802434442328,0.342427654053247,0.15852499918599,0.308869025734663,0.822348008035548,0.416135618655017,0.245365707150592,-0.0904573016989656
SVIL,0.117454202725813,0.200560397416079,0.180348008035548,0.753153317770061,-0.106961726477727,-0.485067921167992,-0.620931207910197,0.0949055301594415,-0.587758186654718,-0.141802434442328,-0.451572345946753,-0.30347500081401,0.149869025734663,0.494348008035548,0.242135618655017,-0.078634292849408,0.259542698301034
MGC39606,-0.250545797274187,0.288560397416079,-0.0406519919644523,-1.09084668222994,-0.133961726477727,0.440932078832008,0.612068792089803,0.126905530159442,0.277241813345282,0.0661975655576716,0.459427654053247,0.45152499918599,0.138869025734663,0.0553480080355477,0.425135618655017,0.409365707150592,0.110542698301034
ADARB2,-0.205545797274187,-0.242439602583921,-0.193651991964452,0.043153317770061,-0.663961726477727,-0.316067921167992,-0.452931207910197,-0.366094469840558,-0.751758186654718,-1.26980243444233,-0.742572345946753,-1.00447500081401,0.0168690257346627,-0.262651991964452,-0.291864381344983,-0.081634292849408,-0.185457301698966
PARD3,0.0284542027258132,0.0905603974160787,0.171348008035548,0.229153317770061,-0.489961726477727,-0.279067921167992,-0.451931207910197,-0.0420944698405585,-0.666758186654718,-0.491802434442328,-0.350572345946753,-0.71047500081401,0.242869025734663,-0.0236519919644523,-0.00186438134498326,0.191365707150592,0.497542698301034
SPAG6,0.226454202725813,-0.0524396025839213,0.0163480080355477,0.171153317770061,-0.881961726477727,-1.09506792116799,-1.1229312079102,-0.621094469840558,-1.04775818665472,-0.911802434442328,-0.603572345946753,-0.50447500081401,-0.0101309742653373,-0.357651991964452,-0.354864381344983,-0.222634292849408,0.0265426983010344
AKR1C1,-0.302545797274187,0.358560397416079,0.637348008035548,0.107153317770061,-0.662961726477727,0.216932078832008,-0.279931207910197,0.262905530159442,-0.0997581866547178,-0.649802434442328,-0.0905723459467532,0.72952499918599,0.344869025734663,-0.124651991964452,0.496135618655017,0.493365707150592,0.157542698301034
CCDC3,0.213454202725813,0.219560397416079,-0.265651991964452,0.142153317770061,-0.428961726477727,0.366932078832008,-0.332931207910197,-0.273094469840558,-0.698758186654718,-0.498802434442328,-0.224572345946753,-0.34047500081401,0.518869025734663,-0.224651991964452,0.105135618655017,0.272365707150592,0.485542698301034
AKR1C2,-0.381545797274187,-0.0124396025839213,-0.287651991964452,-0.103846682229939,-0.937961726477727,-0.862067921167992,-0.922931207910197,-0.436094469840558,-1.01875818665472,-0.712802434442328,-0.374572345946753,-0.26047500081401,0.421869025734663,-1.19365199196445,-0.188864381344983,0.054365707150592,-0.414457301698966
TCTEX1D1,0.396454202725813,0.0975603974160787,0.0813480080355477,0.160153317770061,0.198038273522273,0.464932078832008,0.073068792089803,0.0549055301594415,-0.438758186654718,-0.0498024344423284,-0.315572345946753,-0.23047500081401,0.436869025734663,0.213348008035548,-0.247864381344983,-1.34563429284941,0.183542698301034
GYPA,-0.247545797274187,0.363560397416079,0.217348008035548,0.225153317770061,-0.447961726477727,0.745932078832008,0.377068792089803,0.0519055301594415,-0.0217581866547178,-0.0178024344423284,0.553427654053247,0.00552499918599018,0.476869025734663,-0.0736519919644523,-0.144864381344983,0.635365707150592,0.217542698301034
VASP,0.156454202725813,-0.435439602583921,-0.806651991964452,-0.393846682229939,-0.120961726477727,-0.682067921167992,-0.651931207910197,-0.913094469840558,-0.495758186654718,-0.391802434442328,-0.352572345946753,-0.22047500081401,-0.420130974265337,-0.225651991964452,0.104135618655017,-0.311634292849408,-0.279457301698966
