,AO1,AO2,AO3,AOA1,AOA2,AOA6,AOA7,GBM11,GBM23,GBM24,GBM26,GBM3,GBM30,GBM9,GS2,JPA2,O4
EXT1,0.230560397416079,0.711348008035548,0.35852499918599,0.281932078832008,1.12315331777006,0.643383406265636,1.13902942396475,-0.0218112839998505,-0.233931207910197,-0.194368806123744,-0.121094469840558,-0.212864381344983,-0.0625723459467532,-0.069563496389231,-0.41847500081401,0.0268690257346627,0.432967477062096
DIP2C,0.768560397416079,0.494348008035548,0.62352499918599,0.228932078832008,-0.449846682229939,0.397383406265636,0.202029423964751,-0.0708112839998505,-0.404931207910197,0.121631193876256,0.0489055301594415,-0.214864381344983,0.342427654053247,0.201436503610769,0.15852499918599,0.308869025734663,0.687967477062096
SVIL,0.200560397416079,0.180348008035548,0.61752499918599,0.383932078832008,0.753153317770061,0.240383406265636,0.198029423964751,-0.149811283999851,-0.620931207910197,0.399631193876256,0.0949055301594415,-0.163864381344983,-0.451572345946753,-0.447563496389231,-0.30347500081401,0.149869025734663,0.503967477062096
MGC39606,0.288560397416079,-0.0406519919644523,0.37152499918599,-0.465067921167992,-1.09084668222994,-0.0376165937343638,-0.323970576035249,-0.0528112839998505,0.612068792089803,0.289631193876256,0.126905530159442,-0.252864381344983,0.459427654053247,0.100436503610769,0.45152499918599,0.138869025734663,0.812967477062096
ADARB2,-0.242439602583921,-0.193651991964452,0.42852499918599,-0.0510679211679921,0.043153317770061,0.258383406265636,0.149029423964751,-0.61781128399985,-0.452931207910197,-0.0803688061237443,-0.366094469840558,-1.25086438134498,-0.742572345946753,-0.443563496389231,-1.00447500081401,0.0168690257346627,0.163967477062096
PARD3,0.0905603974160787,0.171348008035548,0.22952499918599,0.201932078832008,0.229153317770061,0.276383406265636,0.437029423964751,-0.289811283999851,-0.451931207910197,0.0486311938762557,-0.0420944698405585,0.150135618655017,-0.350572345946753,-0.158563496389231,-0.71047500081401,0.242869025734663,0.676967477062096
SPAG6,-0.0524396025839213,0.0163480080355477,-0.29047500081401,-0.390067921167992,0.171153317770061,0.175383406265636,0.0700294239647512,-1.08281128399985,-1.1229312079102,-0.0763688061237443,-0.621094469840558,0.120135618655017,-0.603572345946753,-0.622563496389231,-0.50447500081401,-0.0101309742653373,0.319967477062096
AKR1C1,0.358560397416079,0.637348008035548,0.80052499918599,0.490932078832008,0.107153317770061,0.658383406265636,0.422029423964751,-0.289811283999851,-0.279931207910197,0.162631193876256,0.262905530159442,-0.669864381344983,-0.0905723459467532,0.153436503610769,0.72952499918599,0.344869025734663,0.832967477062097
CCDC3,0.219560397416079,-0.265651991964452,0.25952499918599,1.00393207883201,0.142153317770061,0.416383406265636,0.450029423964751,-0.60081128399985,-0.332931207910197,0.468631193876256,-0.273094469840558,0.136135618655017,-0.224572345946753,-0.074563496389231,-0.34047500081401,0.518869025734663,0.421967477062096
AKR1C2,-0.0124396025839213,-0.287651991964452,-0.0514750008140098,0.0679320788320079,-0.103846682229939,0.324383406265636,-0.565970576035249,-0.64581128399985,-0.922931207910197,-0.654368806123744,-0.436094469840558,-0.826864381344983,-0.374572345946753,-0.570563496389231,-0.26047500081401,0.421869025734663,0.730967477062096
