,GBM2,GBM4,GBM5,GBM6,GBM11,GBM13,O2,GBM15,GBM23,A1,OA3,A2,A3,OA4,O5,O6,O8,GBM33,GBM34,GBM35,GBM36,GBM37,GBM39,GBM43,GBM48,GBM49,A5,A6,GBM54,GBM56,GBM58,A8,O11,OA7
C5orf31,3.3996242333142,3.21296091886041,3.20589532777604,3.41503514701918,3.44498999741897,3.33663961858891,3.31829294921919,3.22320224510898,3.28361236160627,3.23770305076007,3.02974445758651,3.3906546671316,3.4355626518563,3.17821352904471,3.55545298665054,3.24220091529948,3.48131260735953,3.29382643838618,3.3494333403079,3.22375311873439,3.38540588000018,3.32821115422931,3.13907899624868,3.26336830919163,3.37850855017333,3.47648570661737,3.50994516252413,3.43205117447748,3.23282362821976,3.4606056100386,3.19378889467189,3.28051964104282,3.55487869943695,3.05623117265356
MLL,3.6818699661807,3.3812905688408,3.69454140998888,3.4138063689594,3.48772731499766,3.37814633707284,3.37686298626884,3.32979720595769,3.52069623908624,3.83979463382162,3.93042318097963,3.73474215977082,3.59790109797119,3.98380344133259,3.58906213156232,3.53009258464492,3.67869925188096,3.34319976712003,3.54257199384022,3.42037943298573,3.43631263567843,3.64365082748418,3.59861653534177,3.22039865417132,3.4136582862859,3.60677688742238,3.77051165642876,3.77147363818625,3.54224751806935,3.53925291855114,3.36786503315188,3.6390381177871,3.54167283181073,3.55193976691046
FOLR1,3.60448989864779,3.60811679104187,4.26414707562743,3.46677526737418,3.56593278102176,3.48576825963573,3.2767048491484,3.39107631812134,3.6334623956143,4.23351476976964,4.20969360153097,3.87257608209361,4.19006355764832,4.17886850394078,3.76465195108006,3.67865856888535,3.40882722280582,3.24865190372701,3.47552576974167,3.7812736508757,3.33104324688419,3.62440566134092,3.45357410087284,3.28773881983306,3.51126408343314,3.60597084886528,3.86435816112277,3.61457643647495,3.5869692258255,3.51567280358218,3.40040414044856,3.77693620587625,4.02987421284069,4.26434486907623
NDUFS1,3.4276121919925,3.3974213251665,3.73408677764645,3.48718816795091,3.37125410694286,3.45196226617167,3.63638959225103,3.50418681307512,3.66650029018229,3.85412748881032,3.89992731260686,3.75028571363798,3.83462622957518,3.76920918907051,3.61916713353783,3.88791366705622,3.31677357151871,3.53531729023814,3.29265716532181,3.59166140737338,3.44271159221274,3.38365777104511,3.44458810513969,3.18259038914782,3.3196104643751,3.67848642034578,3.73610522810154,3.8900831214208,3.23535444176406,3.48558898905125,3.41054847282158,3.64890122419349,3.9026174890919,3.71320584831051
ATAD1,3.69694949022365,3.90382782334998,3.88227538751634,3.85155766407101,3.92395571957135,3.93254367234432,4.16991193817676,4.07549962436382,4.01090246139969,4.2332608731129,3.91841038792074,4.01918219846473,4.11526030586509,3.95758617035416,4.21670622965135,4.09015195357844,3.98054969315334,3.70206183285757,3.72584934085624,3.90216139623512,3.81703490238303,3.71464622664614,3.77183373171475,3.8952172298301,3.92158597799577,4.0877080357125,4.09760713859799,4.16282711404144,3.96126970537726,3.77499923916721,3.97372307578426,4.03531320354302,4.17180575998985,3.67467517147076
GLUD1,3.82888265695054,3.61039652594454,3.99653084723319,3.90156304076411,3.94919858210906,3.86023430263892,4.08576486705898,3.8775282740742,3.98047483669886,4.45271388325739,4.43129045871509,4.3536244500626,4.42583631198478,4.4743038136822,4.3883701356407,4.28851522214735,4.30210772710948,3.99182551997835,4.14336287741956,3.9663510826392,4.28992758356096,3.8858079515946,3.85071789704806,3.85407601741184,4.15073995784178,4.04411870618239,4.32395039155139,4.40835900675625,3.93709899206257,3.77237621019461,4.01090195316611,4.23914260415614,4.29006322931239,3.81024280379522
OSBP,3.72768445300337,3.5425058727663,3.65117815356367,3.55217074319132,3.49468641819469,3.6150985049274,3.6566231604306,3.793494866171,3.57571203144794,3.72837910836281,3.67682899696773,3.71030611097112,3.69464423981397,3.88631669050455,3.65374395794539,3.70006902792852,3.70141254370941,3.64191601325289,3.66412248566849,3.71217483230134,3.60074251701861,3.56678278694787,3.63338926536626,3.56417859994283,3.57470419209836,3.648914090402,3.83552138559661,3.72668125123143,3.69111917062071,3.56839429683741,3.48892027354946,3.72879613115698,3.69788099300565,3.68615398831829
MYST4,3.49338387301886,3.38069069141072,3.53934098783594,3.325997717108,3.42947967063742,3.17331129224879,3.44233503238341,3.29747205253874,3.48824759163448,3.74163236698786,3.58470948389881,3.52812087859769,3.60467286558934,3.67733205586801,3.5794701057439,3.62285162553672,3.51516555181217,3.31249724506089,3.48037220066697,3.22946604902796,3.35215317811531,3.38129833056697,3.44026566101926,3.24741888050026,3.40620624141956,3.60218016569747,3.74961219161635,3.56048900254518,3.38304174084411,3.3532330113189,3.46242779846336,3.75820464253486,3.38741990552962,3.446388182864
NUDT3,3.52919093873923,3.52444143178031,4.05492985140434,3.12300115895193,3.8003027892002,3.33751736301048,3.53533729411195,3.21307925686259,3.69646027492671,3.93535503454993,3.92707323685033,3.76812204231866,3.83428161815737,3.94462818577281,3.6391468896476,3.76328907199043,3.36755307951224,3.35951182185831,3.32229229143323,3.55444700050157,3.42696467527257,3.49080039090651,3.42306507147152,3.32631598945303,3.25082214842258,3.4932668635784,3.73109351612386,3.83505026029306,3.54148239047,3.48783325629525,3.40377164620618,3.75932336923248,3.89464387558351,3.6661754642274
FNIP1,3.45825746711557,3.5867861795039,3.86758414831841,3.26080572668912,3.31095147622693,3.42076199475587,3.35232957427579,3.6209556498598,3.40921569170341,3.72376711941856,3.98476883091952,3.41575487553267,3.80809133972554,3.99542075811758,3.28495743350627,3.36245910063444,3.53279653280398,3.06090360941882,3.04842587653765,3.36494140345651,3.43874924200466,3.72637743263486,3.78434978755395,3.35809520158319,3.40184615329086,3.59771415847709,3.77636465697547,3.49603496569954,3.40378570083855,3.21528559738487,3.38662664897596,3.40126988810808,3.75048949530192,4.08838060741422
