,AO3,AOA1,AOA3,AOA4,AOA6,AOA7,GBM1,GBM11,GBM15,GBM21,GBM24,GBM25,GBM28,GBM3,GBM31,GBM4,GBM5,GBM6,GBM9,GNN1,GS1,O1,O3,O4,O5,sGBM3
MSN,-1.4354167823805,-1.64945483843632,-1.31118759116855,-1.00013683713752,-1.17932540661048,-0.799982650648187,-0.838424402101985,0.0504314440020152,-0.196229581832931,-0.0896041907863744,0.50876066457364,0.362109340229304,0.112123030416147,0.110555748995382,0.0107499088314468,0.302245981235819,0.365118883514921,-1.17286254116129,0.089514248204764,-2.27890360892812,-0.306109644092442,-2.48091744089533,-1.57891451798474,-2.5118178848844,-1.36264933980243,-0.167489330527343
H08563,-2.31875011571383,-1.93712150510298,-2.82018759116855,-2.21747017047085,-2.41865873994381,-3.08064931731486,-2.71809106876866,-0.635901889331318,-1.9498962484996,-0.425270857453041,-0.484572668759693,-0.645890659770696,-0.10154363625052,-0.555777584337952,-0.65191675783522,-0.512087352097515,-0.278214449818412,-1.95286254116129,-0.886485751795236,-3.12957027559479,-1.10110964409244,-2.86025077422866,-2.38658118465141,-2.31215121821773,-2.4583160064691,-0.296489330527342
BGN,-0.176416782380501,0.202211828230354,-0.721187591168553,0.319196496195817,-0.917658739943814,-1.05564931731486,-0.141424402101985,1.91643144400201,0.456770418167069,2.25472914254696,1.17742733124031,2.7061093402293,1.82445636374948,2.78488908232871,1.60474990883145,3.18857931456915,2.83911888351492,0.94413745883871,3.1158475815381,-0.816903608928116,2.49355702257423,-1.02225077422866,-0.758914517984739,1.6471821151156,-0.2863160064691,1.02384400280599
TNFRSF12A,-3.4349167823805,-2.13528817176965,-3.30018759116855,-2.91030350380418,-2.59515873994381,-2.38564931731486,-3.63592440210198,-0.00906855599798484,-2.88822958183293,-0.0102708574530413,-0.945572668759693,0.274609340229304,-0.62904363625052,-0.460610917671285,-1.30625009116855,-0.0664206854308482,-0.42688111648508,-3.05836254116129,0.071347581538097,-3.94390360892812,-1.46094297742577,-4.50825077422866,-3.91291451798474,-3.6448178848844,-2.7048160064691,-0.365155997194009
CAPG,-1.1824167823805,-0.520788171769646,0.802812408831447,0.775196496195817,0.267341260056186,-0.157649317314857,0.446575597898015,1.50343144400202,2.39577041816707,1.74572914254696,1.07842733124031,0.211109340229304,1.40445636374948,1.77088908232871,0.173749908831447,1.75357931456915,2.10111888351492,1.16713745883871,2.1488475815381,1.09909639107188,0.578557022574225,-1.00225077422866,-0.0839145179847387,-1.8058178848844,0.0816839935309004,0.237844002805991
MYCBP2,1.8305832176195,1.41521182823035,1.34881240883145,1.11619649619582,1.51534126005619,0.193350682685143,1.71257559789802,0.229431444002015,0.66177041816707,-0.259270857453041,0.493427331240307,0.0371093402293035,-0.46454363625052,-0.518110917671285,0.218749908831447,-0.993420685430848,0.11411888351492,0.67713745883871,0.0608475815380969,1.96109639107188,0.487557022574225,2.38974922577134,2.09008548201526,1.8921821151156,1.4346839935309,0.506844002805991
EMP3,-3.5474167823805,-0.845788171769646,-3.41818759116855,-2.46280350380418,-3.83665873994381,-3.25864931731486,-2.68842440210198,-1.34856855599798,-1.80522958183293,-0.667270857453041,-1.61957266875969,-1.1518906597707,-0.72254363625052,-0.729110917671285,-0.567250091168553,-0.408420685430848,-0.0218811164850795,-2.04586254116129,-0.483152418461903,-4.29990360892812,-1.27244297742577,-3.79225077422866,-2.79491451798474,-4.8028178848844,-3.4493160064691,-2.21115599719401
RTN3,2.0485832176195,1.83321182823035,1.74281240883145,1.23519649619582,1.34734126005619,0.341350682685143,1.53157559789802,0.500431444002015,0.744770418167069,-0.119270857453041,0.303427331240307,0.867109340229304,0.59445636374948,-1.10811091767129,0.208749908831447,-0.759420685430848,-0.117881116485079,0.89613745883871,0.127847581538097,0.837096391071884,0.722557022574225,2.41674922577134,2.05008548201526,2.5011821151156,1.7396839935309,0.528844002805991
RGS16,-0.0294167823805009,0.763211828230354,0.410812408831447,0.0881964961958167,0.574341260056186,-1.01464931731486,0.488575597898015,2.75643144400202,2.38877041816707,2.34072914254696,2.01442733124031,1.4221093402293,1.05345636374948,1.37988908232871,0.482749908831447,1.50957931456915,2.09011888351492,0.37013745883871,2.0708475815381,-0.530903608928116,1.39655702257423,0.149749225771338,0.167085482015261,-0.5668178848844,0.9306839935309,2.88484400280599
ITGA5,-2.8294167823805,-2.99678817176965,-2.93018759116855,-2.99780350380418,-2.56365873994381,-1.58964931731486,-2.03642440210198,-0.565568555997985,-2.34722958183293,-0.764270857453041,-1.70857266875969,-0.959890659770696,-1.12854363625052,0.211889082328715,-1.17025009116855,-0.775420685430848,-1.03688111648508,-1.97486254116129,-0.712152418461903,-4.03090360892812,-1.60244297742577,-3.02025077422866,-3.31991451798474,-2.2828178848844,-2.1873160064691,-1.21715599719401
PPP3CB,1.5045832176195,1.02121182823035,1.01681240883145,1.48719649619582,0.390341260056186,0.840350682685143,1.00957559789802,-0.424568555997985,0.235770418167069,-0.300270857453041,-0.0845726687596933,0.960109340229303,-0.56954363625052,-0.598110917671285,0.0577499088314469,-0.517420685430848,-0.384881116485079,1.41413745883871,-1.1161524184619,1.43009639107188,0.591557022574225,1.80574922577134,2.08308548201526,2.0151821151156,1.3286839935309,0.448844002805991
LOC541471,-2.8894167823805,-1.25678817176965,-3.36518759116855,-2.48080350380418,-3.50865873994381,-1.75164931731486,-3.39042440210198,1.05443144400202,-2.56222958183293,0.473729142546959,-0.988572668759693,-0.509890659770696,-0.19154363625052,0.0768890823287146,-0.159250091168553,-0.178420685430848,-0.58488111648508,-1.78786254116129,-0.275152418461903,-3.66490360892812,-1.10644297742577,-3.55725077422866,-1.86591451798474,-2.8798178848844,-3.1133160064691,0.352844002805991
H78560,-2.79275011571383,-1.72078817176965,-2.91385425783522,-2.51947017047085,-3.55765873994381,-3.02898265064819,-2.78142440210198,0.522764777335348,-2.4158962484996,0.739395809213629,0.30476066457364,1.5671093402293,-0.279876969583854,1.29288908232871,0.780749908831447,1.13824598123582,0.182452216848254,-2.35052920782796,1.05951424820477,-3.90223694226145,-0.613442977425775,-2.85991744089533,-4.00158118465141,-4.0838178848844,-2.4133160064691,-0.86415599719401
ASPA,0.8605832176195,0.823211828230354,0.802812408831447,0.771196496195817,0.371341260056186,1.19035068268514,0.680575597898015,2.65643144400202,1.28677041816707,2.94972914254696,3.13942733124031,4.1391093402293,3.48145636374948,4.73688908232871,1.94574990883145,4.37857931456915,4.28811888351492,1.20213745883871,4.3828475815381,1.14509639107188,3.46755702257423,0.374749225771338,0.394085482015261,0.9541821151156,0.6636839935309,1.43884400280599
TIMP1,-2.9194167823805,-2.46928817176965,-3.35718759116855,-1.29730350380418,-3.36665873994381,-1.92964931731486,-3.02992440210198,0.608931444002015,-0.84522958183293,1.53372914254696,0.430927331240307,1.8451093402293,0.27895636374948,2.49488908232871,-0.276750091168553,1.71257931456915,1.28211888351492,-1.09136254116129,0.884347581538097,-4.03240360892812,0.694057022574225,-3.83825077422866,-2.78041451798474,-3.1598178848844,-1.6153160064691,2.20234400280599
AA398420,2.4435832176195,1.27921182823035,1.99581240883145,1.89919649619582,1.42334126005619,2.40535068268514,2.21657559789802,0.209431444002015,0.890770418167069,-0.516270857453041,1.58942733124031,0.696109340229303,-0.14454363625052,-0.442110917671285,0.537749908831447,-0.730420685430848,-0.18888111648508,1.62113745883871,-0.097152418461903,2.33009639107188,0.773557022574225,2.99074922577134,2.56308548201526,2.4001821151156,1.6776839935309,1.31684400280599
