,GBM1,GBM3,GBM7,GBM8,GBM9,GBM10,GBM12,O1,GBM14,GBM16,OA1,GBM17,GBM18,GBM19,GBM20,GBM21,GBM22,GBM24,GBM25,GBM26,GBM27,GBM28,GBM29,OA2,A4,O3,O4,O7,O9,GBM30,GBM31,GBM32,GBM38,GBM40,GBM41,GBM42,GBM44,GBM45,GBM46,GBM47,GBM50,OA5,O10,GBM51,GBM52,GBM53,GBM55,GBM57,GBM59,A7,OA6
C5orf31,3.31469538456794,3.38488703716386,3.27965508290274,3.18130352710958,3.18782123886248,3.248278637299,3.53398953234927,3.51408013639108,3.25122489663989,3.30691030827738,2.93010507960803,3.2270167309128,3.42141766672427,3.33501977452351,3.32498170308737,3.33184013554824,3.26350398511451,3.35772164751794,3.42451461704256,2.96436901524752,3.34383676837746,3.27133897409468,3.21512790024385,3.03188572385055,3.45063425833435,3.54729733434169,3.57692984080241,3.41048012494364,3.70038791698333,3.44981305494966,3.20819188797096,3.17579960478392,3.42816947138278,3.34224952073295,3.37983686331517,3.35314885730929,3.22880289552378,3.43825256426021,3.27708568288807,3.30481440444799,3.32663054854936,2.78362491283571,3.36073424299368,3.3686087201202,3.19096418656537,3.19995226493329,3.39299364909071,3.0697217330371,3.25150852099416,3.40964997920049,2.9245935188354
MLL,3.44187965195919,3.38628667119382,3.46188852634397,3.2972265586912,3.56171742991519,3.82197947351164,3.62643060500897,3.42982105130404,3.34243452505566,3.42184518939077,3.82359335037243,3.33755210053191,3.52252117376086,3.57006962796125,3.6258217792612,3.2773886879855,3.14225458860492,3.46326586888796,3.41921665419064,3.41490602710862,3.47391156813274,3.30044047526661,3.31746869628034,3.87872395962753,3.82312437037469,3.69205080568088,3.86438801351979,3.65425742289699,3.6450776447653,3.56135747028935,3.51115688057993,3.40578947987821,3.70461177406483,3.29130689912087,3.50558256440078,3.19289040595316,3.61711508880181,3.31734239268773,3.26367866759241,3.64416019726465,3.35837044679507,3.89631226925543,3.39356748241017,3.39394038347646,3.48283158072974,3.37103921637183,3.42850977826156,3.45844278812221,3.37662877733993,3.72213403178712,4.02564481043077
FOLR1,3.52489050785866,3.66488443594974,3.79131014144293,3.90651438024702,3.70365517308198,3.50723000991893,3.65963766813881,3.77949454273085,3.74661287284264,3.53304796978523,4.21140380864612,3.59084729406735,3.67327467855699,3.51273187790757,3.64160428018506,3.55487180047234,3.56668562324575,3.86982670623624,3.53704725366845,3.62320720315528,3.528330263946,3.38195198363238,3.61415036776505,4.18417533572339,3.81758163050993,4.40548986028863,4.23000226258878,3.59873679094999,3.79907292782543,3.65487297286463,3.59759438720135,3.51189525380339,3.65175721838497,3.53766007641906,3.82204948246912,3.36569254182501,3.6001705060705,3.52968592767724,3.54987539127322,3.57308126704599,3.66342886445034,4.15419087673502,3.84670431306536,3.63861832806378,3.66889623894586,3.65858962543223,3.85501369902315,3.50380266342937,3.78013721904949,3.88211537989674,4.23179417050004
NDUFS1,3.24794823850102,3.60822705907036,3.40034298797779,3.12845581379723,3.66000409541898,3.47337060735039,3.52576345563511,3.73004722810674,3.15391024627162,3.62361456452888,3.83075523389909,3.53706452989883,3.59631322716318,3.23067775981661,3.53021660845545,3.34958637879615,3.544886847723,3.59463051832605,3.36045443224067,3.43373512097128,3.62616486873597,3.56624570029378,3.39967960431465,3.68372786009721,3.72604810340217,3.87208887900659,3.72468522450708,3.55356325365157,3.79280057433985,3.62947973301777,3.2961661229888,3.35684183163858,3.49215880286679,3.36293180487512,3.67888004942413,3.29058993039815,3.4622628963277,3.49198159184658,3.45718843940796,3.48099075590785,3.58759031090454,3.72133807327891,3.81295397798075,3.24087434824451,3.53457890810752,3.54135529992486,3.54728600302259,3.59821843671031,3.34113684677401,3.7815044163374,3.68979945014784
ATAD1,3.6946672240393,3.86456180511548,3.69995040243209,3.92303345396716,4.03262524701857,3.85651555651816,3.9317025119648,4.01728699340896,3.71993854298747,3.71658774448744,3.85494741270195,3.85084924643026,3.78174546831825,3.83110861259893,3.72044179245571,3.83045341974458,3.93484362864613,3.79068647219696,3.89422714508211,3.79491899030247,3.48410215477486,4.03135670942549,3.73756990138605,3.93430408622583,4.20748722621962,4.01587779104147,4.131800138428,4.05284201532888,4.1522258565338,3.95231116022451,3.8950357633613,3.68893186292733,3.82750122165789,3.91313593008316,3.92742754651448,3.7543446656013,3.96971254785622,3.91603608790284,3.74615784830486,4.00496580123544,3.7998193191639,4.06408924400454,4.1906080176711,3.77417041378094,3.99031789446632,3.61485578742337,3.65448987195672,4.0102903291066,3.77458447685001,4.08840112243731,3.96425958304218
GLUD1,3.67601210143508,3.64422927014954,3.59238463583869,3.83313442089007,3.9723850834378,4.20617356702371,3.99032033692871,4.10395149272242,3.61131164814564,3.92855719750775,4.41506390563188,4.09023261544214,4.05300349239323,4.04256830695066,3.88960425831788,3.88312308740292,3.84444710338419,3.81523296496153,3.95152222469316,3.71582190427488,3.79704569615215,3.8929719373178,3.87831942227737,4.47896987022301,4.33904581767068,3.99907461900881,4.00861268948129,4.06061044395777,4.20746309289463,4.1354390628953,3.87525346854409,3.92392488128261,4.31025748256191,3.9690772449956,3.9082341279556,3.49153425657946,4.1723748667347,3.71892108286128,3.70889292814718,4.28933746604281,3.97602291973077,4.15387365012404,4.02574227576192,3.7166396198343,4.16101671064499,3.7257849173756,3.96129638855689,3.90444049516695,3.55604341509819,4.32114152862691,4.38087896258614
OSBP,3.61941454796394,3.59559486381052,3.54113548783233,3.6003986815337,3.66256679451089,3.68217270420844,3.66834323071404,3.62353324681936,3.57440344334704,3.55862122297007,3.71158015595142,3.55701175151278,3.58774934283553,3.64648920421879,3.52164912541928,3.51335346236407,3.5158610000569,3.53040027286998,3.6276655597492,3.52336909083698,3.50720974916085,3.53314328681484,3.55053983232945,3.75975469490128,3.67998376474367,3.77833839097944,3.82062556002518,3.76456824060099,3.74072497682844,3.58010805336875,3.71100823596168,3.46736743828954,3.63172191251208,3.66145270590534,3.54763615196109,3.41855748263753,3.57957451350385,3.57973959349937,3.52189717364255,3.74187172539151,3.51455412757837,3.80046536193272,3.66635686860472,3.61324153134299,3.63854705920099,3.62519254031651,3.59595969952441,3.49969148051494,3.61137594591234,3.77704790014185,3.76214050047584
MYST4,3.41639716770977,3.38308830149619,3.17796048751008,3.24100177691362,3.52703088324324,3.48328939288823,3.52947296036448,3.43611332874996,3.34834497987834,3.38725684779447,3.57333630405565,3.30865723808753,3.42018488983226,3.40278737711022,3.32855634367541,3.40158886655778,3.15611949006581,3.50896769781541,3.40466218772515,3.31527975099578,3.26461904059239,3.28775538778886,3.23700656984001,3.63493057398446,3.67173548671967,3.6596903462347,3.70117849955986,3.53754395476444,3.63851221904434,3.47816462339119,3.46455109544758,3.32410705547592,3.60778035410963,3.43421541694781,3.36367138581005,2.95541929934292,3.53117774437553,3.33089650536893,3.36231505815496,3.44538404267714,3.39896009662581,3.45759777219654,3.50016934890454,3.29942470298497,3.48970021528167,3.20626416708714,3.40374593533576,3.37102313687749,3.41822171862916,3.63023845284934,3.71798778811736
NUDT3,3.02191623700338,3.30195774277312,2.97349915521828,3.38551297068782,3.44020404037742,3.42139363795569,3.70837117864435,3.73963720690587,3.2274506494196,3.47466213425128,3.98517229028417,3.50056865715346,3.66630171545572,3.35326112321246,3.27964162467202,3.49039845399877,3.10615212531277,3.29151936202533,3.48002506215027,3.19446660849203,3.60276406310096,3.61910387466766,3.01423315411381,3.8756814561164,3.61225273949187,3.58275291141413,3.79800486886503,3.50113515436963,3.66996606990169,3.71558045235153,3.1667674713351,3.21608642836487,3.6216390055659,3.4543131715712,3.49855079694178,3.1942267520606,3.51440495653638,3.54871154882708,3.12992533969039,3.43014635659351,3.46531011590527,3.73055877446228,3.78788811127844,3.43192605262839,3.53808928064965,3.29851926158712,3.47246389660699,3.51459503107623,3.29565636853906,3.56064214893325,3.90099069912142
FNIP1,3.39190025082772,3.50044410140406,3.59435077653076,3.20306309065582,3.25710930015139,3.34367302915029,3.74659792838566,3.55275895836368,3.50528798060667,3.22518104251877,4.02040131214538,3.39920127749386,3.59650055057837,3.24819673556606,3.29512796572668,3.0946587117264,2.90436926969795,3.49869228937326,3.16640080463774,3.62037844236972,3.73662267493901,3.51192705548707,3.14035026052318,3.85106458569503,3.55554061114357,3.87819761962499,3.95079217097026,3.61941120969432,3.75523238677893,3.63520367733094,3.38445951027044,3.48721292060744,3.45206196396638,3.41701274280897,3.27115245944045,3.1536798311046,3.3394464722336,3.37921230216772,3.25191136294107,3.24244700619085,3.60367192023403,3.97248744411941,3.55934419062301,3.69211928524489,3.6658750485698,3.70718851054206,3.43431623721464,3.25893931639277,3.29218493873107,3.57420853950358,4.0577513952296
