,GBM4,GBM6,GBM8,GBM9,O2,GBM14,GBM16,GBM21,GBM24,GBM28,O3,O4,O9,GBM30,GBM32,GBM35,GBM36,GBM42,GBM45,GBM50,A5,O10,GBM51,GBM56,GBM57,GBM58
C5orf31,3.21296091886041,3.41503514701918,3.18130352710958,3.18782123886248,3.31829294921919,3.25122489663989,3.30691030827738,3.33184013554824,3.35772164751794,3.27133897409468,3.54729733434169,3.57692984080241,3.70038791698333,3.44981305494966,3.17579960478392,3.22375311873439,3.38540588000018,3.35314885730929,3.43825256426021,3.32663054854936,3.50994516252413,3.36073424299368,3.3686087201202,3.4606056100386,3.0697217330371,3.19378889467189
MLL,3.3812905688408,3.4138063689594,3.2972265586912,3.56171742991519,3.37686298626884,3.34243452505566,3.42184518939077,3.2773886879855,3.46326586888796,3.30044047526661,3.69205080568088,3.86438801351979,3.6450776447653,3.56135747028935,3.40578947987821,3.42037943298573,3.43631263567843,3.19289040595316,3.31734239268773,3.35837044679507,3.77051165642876,3.39356748241017,3.39394038347646,3.53925291855114,3.45844278812221,3.36786503315188
FOLR1,3.60811679104187,3.46677526737418,3.90651438024702,3.70365517308198,3.2767048491484,3.74661287284264,3.53304796978523,3.55487180047234,3.86982670623624,3.38195198363238,4.40548986028863,4.23000226258878,3.79907292782543,3.65487297286463,3.51189525380339,3.7812736508757,3.33104324688419,3.36569254182501,3.52968592767724,3.66342886445034,3.86435816112277,3.84670431306536,3.63861832806378,3.51567280358218,3.50380266342937,3.40040414044856
NDUFS1,3.3974213251665,3.48718816795091,3.12845581379723,3.66000409541898,3.63638959225103,3.15391024627162,3.62361456452888,3.34958637879615,3.59463051832605,3.56624570029378,3.87208887900659,3.72468522450708,3.79280057433985,3.62947973301777,3.35684183163858,3.59166140737338,3.44271159221274,3.29058993039815,3.49198159184658,3.58759031090454,3.73610522810154,3.81295397798075,3.24087434824451,3.48558898905125,3.59821843671031,3.41054847282158
ATAD1,3.90382782334998,3.85155766407101,3.92303345396716,4.03262524701857,4.16991193817676,3.71993854298747,3.71658774448744,3.83045341974458,3.79068647219696,4.03135670942549,4.01587779104147,4.131800138428,4.1522258565338,3.95231116022451,3.68893186292733,3.90216139623512,3.81703490238303,3.7543446656013,3.91603608790284,3.7998193191639,4.09760713859799,4.1906080176711,3.77417041378094,3.77499923916721,4.0102903291066,3.97372307578426
GLUD1,3.61039652594454,3.90156304076411,3.83313442089007,3.9723850834378,4.08576486705898,3.61131164814564,3.92855719750775,3.88312308740292,3.81523296496153,3.8929719373178,3.99907461900881,4.00861268948129,4.20746309289463,4.1354390628953,3.92392488128261,3.9663510826392,4.28992758356096,3.49153425657946,3.71892108286128,3.97602291973077,4.32395039155139,4.02574227576192,3.7166396198343,3.77237621019461,3.90444049516695,4.01090195316611
OSBP,3.5425058727663,3.55217074319132,3.6003986815337,3.66256679451089,3.6566231604306,3.57440344334704,3.55862122297007,3.51335346236407,3.53040027286998,3.53314328681484,3.77833839097944,3.82062556002518,3.74072497682844,3.58010805336875,3.46736743828954,3.71217483230134,3.60074251701861,3.41855748263753,3.57973959349937,3.51455412757837,3.83552138559661,3.66635686860472,3.61324153134299,3.56839429683741,3.49969148051494,3.48892027354946
MYST4,3.38069069141072,3.325997717108,3.24100177691362,3.52703088324324,3.44233503238341,3.34834497987834,3.38725684779447,3.40158886655778,3.50896769781541,3.28775538778886,3.6596903462347,3.70117849955986,3.63851221904434,3.47816462339119,3.32410705547592,3.22946604902796,3.35215317811531,2.95541929934292,3.33089650536893,3.39896009662581,3.74961219161635,3.50016934890454,3.29942470298497,3.3532330113189,3.37102313687749,3.46242779846336
NUDT3,3.52444143178031,3.12300115895193,3.38551297068782,3.44020404037742,3.53533729411195,3.2274506494196,3.47466213425128,3.49039845399877,3.29151936202533,3.61910387466766,3.58275291141413,3.79800486886503,3.66996606990169,3.71558045235153,3.21608642836487,3.55444700050157,3.42696467527257,3.1942267520606,3.54871154882708,3.46531011590527,3.73109351612386,3.78788811127844,3.43192605262839,3.48783325629525,3.51459503107623,3.40377164620618
FNIP1,3.5867861795039,3.26080572668912,3.20306309065582,3.25710930015139,3.35232957427579,3.50528798060667,3.22518104251877,3.0946587117264,3.49869228937326,3.51192705548707,3.87819761962499,3.95079217097026,3.75523238677893,3.63520367733094,3.48721292060744,3.36494140345651,3.43874924200466,3.1536798311046,3.37921230216772,3.60367192023403,3.77636465697547,3.55934419062301,3.69211928524489,3.21528559738487,3.25893931639277,3.38662664897596
KIAA0776,3.21537897154992,2.89320286549593,2.90539916948881,3.01607390931105,3.05776268756371,3.25372220533872,3.13831375279422,3.08150500801045,3.31930826639755,3.05946571905214,3.38127829419998,3.22732895920799,3.51653762138045,3.23161152851684,3.20912960829211,3.10568284636645,2.95581662479061,2.79817051580979,2.9853802127447,3.19863124841283,3.16287911116855,3.1851002699196,3.32159553101706,3.0750338990023,2.94800439990542,3.00710439224918
SLC7A1,3.46236534970732,3.12848553740098,3.33314790112511,3.29696887085907,3.31498503756894,2.943530128572,3.411619537632,3.37974285596554,3.28429805635645,3.40288837766494,3.81132615355102,3.85509519367955,3.64331032301224,3.13054603835775,3.41716699893288,3.35847965899355,3.42089795385672,3.17298831326859,3.51528847591015,3.58950715483294,3.63837892215807,3.41318975123729,3.27503825067335,3.4886052818921,3.62073750588974,3.38025792585918
