,GBM1,GBM2,GBM3,GBM5,GBM7,GBM10,GBM11,GBM12,GBM13,O1,GBM15,OA1,GBM17,GBM19,GBM23,GBM26,GBM27,GBM29,A1,OA2,OA3,A2,A3,OA4,O5,O6,O7,O8,GBM31,GBM34,GBM37,GBM38,GBM39,GBM40,GBM43,GBM44,GBM46,GBM48,GBM49,OA5,A6,GBM52,GBM53,GBM54,GBM55,GBM59,A7,A8,OA6,O11,OA7
C5orf31,3.31469538456794,3.3996242333142,3.38488703716386,3.20589532777604,3.27965508290274,3.248278637299,3.44498999741897,3.53398953234927,3.33663961858891,3.51408013639108,3.22320224510898,2.93010507960803,3.2270167309128,3.33501977452351,3.28361236160627,2.96436901524752,3.34383676837746,3.21512790024385,3.23770305076007,3.03188572385055,3.02974445758651,3.3906546671316,3.4355626518563,3.17821352904471,3.55545298665054,3.24220091529948,3.41048012494364,3.48131260735953,3.20819188797096,3.3494333403079,3.32821115422931,3.42816947138278,3.13907899624868,3.34224952073295,3.26336830919163,3.22880289552378,3.27708568288807,3.37850855017333,3.47648570661737,2.78362491283571,3.43205117447748,3.19096418656537,3.19995226493329,3.23282362821976,3.39299364909071,3.25150852099416,3.40964997920049,3.28051964104282,2.9245935188354,3.55487869943695,3.05623117265356
MLL,3.44187965195919,3.6818699661807,3.38628667119382,3.69454140998888,3.46188852634397,3.82197947351164,3.48772731499766,3.62643060500897,3.37814633707284,3.42982105130404,3.32979720595769,3.82359335037243,3.33755210053191,3.57006962796125,3.52069623908624,3.41490602710862,3.47391156813274,3.31746869628034,3.83979463382162,3.87872395962753,3.93042318097963,3.73474215977082,3.59790109797119,3.98380344133259,3.58906213156232,3.53009258464492,3.65425742289699,3.67869925188096,3.51115688057993,3.54257199384022,3.64365082748418,3.70461177406483,3.59861653534177,3.29130689912087,3.22039865417132,3.61711508880181,3.26367866759241,3.4136582862859,3.60677688742238,3.89631226925543,3.77147363818625,3.48283158072974,3.37103921637183,3.54224751806935,3.42850977826156,3.37662877733993,3.72213403178712,3.6390381177871,4.02564481043077,3.54167283181073,3.55193976691046
FOLR1,3.52489050785866,3.60448989864779,3.66488443594974,4.26414707562743,3.79131014144293,3.50723000991893,3.56593278102176,3.65963766813881,3.48576825963573,3.77949454273085,3.39107631812134,4.21140380864612,3.59084729406735,3.51273187790757,3.6334623956143,3.62320720315528,3.528330263946,3.61415036776505,4.23351476976964,4.18417533572339,4.20969360153097,3.87257608209361,4.19006355764832,4.17886850394078,3.76465195108006,3.67865856888535,3.59873679094999,3.40882722280582,3.59759438720135,3.47552576974167,3.62440566134092,3.65175721838497,3.45357410087284,3.53766007641906,3.28773881983306,3.6001705060705,3.54987539127322,3.51126408343314,3.60597084886528,4.15419087673502,3.61457643647495,3.66889623894586,3.65858962543223,3.5869692258255,3.85501369902315,3.78013721904949,3.88211537989674,3.77693620587625,4.23179417050004,4.02987421284069,4.26434486907623
NDUFS1,3.24794823850102,3.4276121919925,3.60822705907036,3.73408677764645,3.40034298797779,3.47337060735039,3.37125410694286,3.52576345563511,3.45196226617167,3.73004722810674,3.50418681307512,3.83075523389909,3.53706452989883,3.23067775981661,3.66650029018229,3.43373512097128,3.62616486873597,3.39967960431465,3.85412748881032,3.68372786009721,3.89992731260686,3.75028571363798,3.83462622957518,3.76920918907051,3.61916713353783,3.88791366705622,3.55356325365157,3.31677357151871,3.2961661229888,3.29265716532181,3.38365777104511,3.49215880286679,3.44458810513969,3.36293180487512,3.18259038914782,3.4622628963277,3.45718843940796,3.3196104643751,3.67848642034578,3.72133807327891,3.8900831214208,3.53457890810752,3.54135529992486,3.23535444176406,3.54728600302259,3.34113684677401,3.7815044163374,3.64890122419349,3.68979945014784,3.9026174890919,3.71320584831051
ATAD1,3.6946672240393,3.69694949022365,3.86456180511548,3.88227538751634,3.69995040243209,3.85651555651816,3.92395571957135,3.9317025119648,3.93254367234432,4.01728699340896,4.07549962436382,3.85494741270195,3.85084924643026,3.83110861259893,4.01090246139969,3.79491899030247,3.48410215477486,3.73756990138605,4.2332608731129,3.93430408622583,3.91841038792074,4.01918219846473,4.11526030586509,3.95758617035416,4.21670622965135,4.09015195357844,4.05284201532888,3.98054969315334,3.8950357633613,3.72584934085624,3.71464622664614,3.82750122165789,3.77183373171475,3.91313593008316,3.8952172298301,3.96971254785622,3.74615784830486,3.92158597799577,4.0877080357125,4.06408924400454,4.16282711404144,3.99031789446632,3.61485578742337,3.96126970537726,3.65448987195672,3.77458447685001,4.08840112243731,4.03531320354302,3.96425958304218,4.17180575998985,3.67467517147076
GLUD1,3.67601210143508,3.82888265695054,3.64422927014954,3.99653084723319,3.59238463583869,4.20617356702371,3.94919858210906,3.99032033692871,3.86023430263892,4.10395149272242,3.8775282740742,4.41506390563188,4.09023261544214,4.04256830695066,3.98047483669886,3.71582190427488,3.79704569615215,3.87831942227737,4.45271388325739,4.47896987022301,4.43129045871509,4.3536244500626,4.42583631198478,4.4743038136822,4.3883701356407,4.28851522214735,4.06061044395777,4.30210772710948,3.87525346854409,4.14336287741956,3.8858079515946,4.31025748256191,3.85071789704806,3.9690772449956,3.85407601741184,4.1723748667347,3.70889292814718,4.15073995784178,4.04411870618239,4.15387365012404,4.40835900675625,4.16101671064499,3.7257849173756,3.93709899206257,3.96129638855689,3.55604341509819,4.32114152862691,4.23914260415614,4.38087896258614,4.29006322931239,3.81024280379522
OSBP,3.61941454796394,3.72768445300337,3.59559486381052,3.65117815356367,3.54113548783233,3.68217270420844,3.49468641819469,3.66834323071404,3.6150985049274,3.62353324681936,3.793494866171,3.71158015595142,3.55701175151278,3.64648920421879,3.57571203144794,3.52336909083698,3.50720974916085,3.55053983232945,3.72837910836281,3.75975469490128,3.67682899696773,3.71030611097112,3.69464423981397,3.88631669050455,3.65374395794539,3.70006902792852,3.76456824060099,3.70141254370941,3.71100823596168,3.66412248566849,3.56678278694787,3.63172191251208,3.63338926536626,3.66145270590534,3.56417859994283,3.57957451350385,3.52189717364255,3.57470419209836,3.648914090402,3.80046536193272,3.72668125123143,3.63854705920099,3.62519254031651,3.69111917062071,3.59595969952441,3.61137594591234,3.77704790014185,3.72879613115698,3.76214050047584,3.69788099300565,3.68615398831829
MYST4,3.41639716770977,3.49338387301886,3.38308830149619,3.53934098783594,3.17796048751008,3.48328939288823,3.42947967063742,3.52947296036448,3.17331129224879,3.43611332874996,3.29747205253874,3.57333630405565,3.30865723808753,3.40278737711022,3.48824759163448,3.31527975099578,3.26461904059239,3.23700656984001,3.74163236698786,3.63493057398446,3.58470948389881,3.52812087859769,3.60467286558934,3.67733205586801,3.5794701057439,3.62285162553672,3.53754395476444,3.51516555181217,3.46455109544758,3.48037220066697,3.38129833056697,3.60778035410963,3.44026566101926,3.43421541694781,3.24741888050026,3.53117774437553,3.36231505815496,3.40620624141956,3.60218016569747,3.45759777219654,3.56048900254518,3.48970021528167,3.20626416708714,3.38304174084411,3.40374593533576,3.41822171862916,3.63023845284934,3.75820464253486,3.71798778811736,3.38741990552962,3.446388182864
NUDT3,3.02191623700338,3.52919093873923,3.30195774277312,4.05492985140434,2.97349915521828,3.42139363795569,3.8003027892002,3.70837117864435,3.33751736301048,3.73963720690587,3.21307925686259,3.98517229028417,3.50056865715346,3.35326112321246,3.69646027492671,3.19446660849203,3.60276406310096,3.01423315411381,3.93535503454993,3.8756814561164,3.92707323685033,3.76812204231866,3.83428161815737,3.94462818577281,3.6391468896476,3.76328907199043,3.50113515436963,3.36755307951224,3.1667674713351,3.32229229143323,3.49080039090651,3.6216390055659,3.42306507147152,3.4543131715712,3.32631598945303,3.51440495653638,3.12992533969039,3.25082214842258,3.4932668635784,3.73055877446228,3.83505026029306,3.53808928064965,3.29851926158712,3.54148239047,3.47246389660699,3.29565636853906,3.56064214893325,3.75932336923248,3.90099069912142,3.89464387558351,3.6661754642274
FNIP1,3.39190025082772,3.45825746711557,3.50044410140406,3.86758414831841,3.59435077653076,3.34367302915029,3.31095147622693,3.74659792838566,3.42076199475587,3.55275895836368,3.6209556498598,4.02040131214538,3.39920127749386,3.24819673556606,3.40921569170341,3.62037844236972,3.73662267493901,3.14035026052318,3.72376711941856,3.85106458569503,3.98476883091952,3.41575487553267,3.80809133972554,3.99542075811758,3.28495743350627,3.36245910063444,3.61941120969432,3.53279653280398,3.38445951027044,3.04842587653765,3.72637743263486,3.45206196396638,3.78434978755395,3.41701274280897,3.35809520158319,3.3394464722336,3.25191136294107,3.40184615329086,3.59771415847709,3.97248744411941,3.49603496569954,3.6658750485698,3.70718851054206,3.40378570083855,3.43431623721464,3.29218493873107,3.57420853950358,3.40126988810808,4.0577513952296,3.75048949530192,4.08838060741422
